feature,importance
is_night,0.10076162
amt,0.069425195
embed_13,0.06418085
embed_12,0.04811161
embed_0,0.044477116
city_pop,0.04182318
log_amt,0.04087008
embed_9,0.038617365
embed_7,0.037589315
embed_11,0.03729461
day_of_week,0.03698787
embed_5,0.036381006
category_encoded,0.035742167
hour_of_day,0.031714898
gender,0.03102272
embed_6,0.027644243
embed_4,0.02542673
is_weekend,0.01888425
embed_10,0.01873558
embed_8,0.017383715
embed_14,0.016053807
embed_2,0.014203967
embed_3,0.011951663
age,0.01183212
embed_1,0.011735912
velocity_24h,0.011697225
embed_21,0.010052234
embed_23,0.00847668
embed_26,0.008164138
embed_17,0.0074477196
embed_28,0.007331654
embed_16,0.007213129
embed_29,0.0071825297
embed_24,0.0070707547
embed_25,0.006887423
embed_15,0.00673981
embed_19,0.005662132
lat,0.0056529674
embed_20,0.0056427135
embed_18,0.0043252693
long,0.0042115757
embed_22,0.0039025377
embed_27,0.0037074417
geo_distance_km,0.0035490294
merch_long,0.0035404707
merch_lat,0.0026909509
